name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"chicago, il",2018-04-01T00:00:00,34.4,26.6,21.7,59.43,0,0,,0,0,21,10.3,332,1022.1,78.4,9.9,0,0,0,,Partially cloudy,partly-cloudy-night,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
"chicago, il",2018-04-01T01:00:00,33.6,24.8,19.9,56.84,0,0,,0,0,20.1,12.2,315,1022.3,78.4,9.9,0,0,0,,Partially cloudy,partly-cloudy-night,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
"chicago, il",2018-04-01T02:00:00,32.4,23.2,18.7,56.78,0,0,,0,0,20.4,12,310,1022.5,78.4,9.9,0,0,0,,Partially cloudy,partly-cloudy-night,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
"chicago, il",2018-04-01T03:00:00,31.3,22.8,17.3,55.73,0,0,,0,0,19.7,10.2,311,1023,78.4,9.9,0,0,0,,Partially cloudy,partly-cloudy-night,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
"chicago, il",2018-04-01T04:00:00,30.1,22,15.6,54.34,0,0,,0,0,19.2,8.8,323,1023.3,78.4,9.9,0,0,0,,Partially cloudy,partly-cloudy-night,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
"chicago, il",2018-04-01T05:00:00,28.2,18.5,12.9,52.1,0,0,,0,0,19,11,332,1024,44,9.9,0,0,0,,Partially cloudy,partly-cloudy-night,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
"chicago, il",2018-04-01T06:00:00,27.3,18.6,11.5,50.89,0,0,,0,0,17.2,8.8,345,1024.5,24.2,9.9,0,0,0,,Partially cloudy,partly-cloudy-night,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
"chicago, il",2018-04-01T07:00:00,26.2,16.7,10.7,51.46,0,0,,0,0,14.8,9.8,337,1025,24.2,9.9,21,0.1,0,,Partially cloudy,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,D6362,74466504838,KPWK"
"chicago, il",2018-04-01T08:00:00,27.6,17.6,10,46.95,0,0,,0,0,15.4,11.3,337,1025.7,52.9,9.9,138,0.5,1,,Partially cloudy,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,D6362,74466504838,KPWK"
"chicago, il",2018-04-01T09:00:00,29.3,21.5,10.4,44.74,0,0,,0,0,15,8.1,340,1025.6,78.4,9.9,322,1.2,3,,Partially cloudy,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,D6362,74466504838,KPWK"
"chicago, il",2018-04-01T10:00:00,29.9,23.6,11.9,46.66,0,0,,0,0,13.9,6.2,307,1025.5,78.4,9.9,331,1.2,3,,Partially cloudy,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,D6362,74466504838,KPWK"
"chicago, il",2018-04-01T11:00:00,30.3,24.1,12.5,47.06,0,0,,0,0,13.4,6.2,311,1026.2,78.4,9.9,429,1.5,4,,Partially cloudy,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,D6362,74466504838,KPWK"
"chicago, il",2018-04-01T12:00:00,32.9,27.8,14.3,45.72,0,0,,0,0,13.2,5.5,293,1026,78.4,9.9,496,1.8,5,,Partially cloudy,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,D6362,74466504838,KPWK"
"chicago, il",2018-04-01T13:00:00,34.4,27.4,14.1,42.87,0,0,,0,0,13.2,8.6,284,1025.8,85.6,9.9,524,1.9,5,,Partially cloudy,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,D6362,74466504838,KPWK"
"chicago, il",2018-04-01T14:00:00,35.3,28.6,9.9,34.27,0,0,,0,0,13.2,8.5,274,1024.9,85.6,9.9,490,1.8,5,,Partially cloudy,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,D6362,74466504838,KPWK"
"chicago, il",2018-04-01T15:00:00,35.3,27,11.5,36.89,0,0,,0,0,12.5,11.9,286,1024.2,88.1,9.9,253,0.9,3,,Partially cloudy,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,D6362,74466504838,KPWK"
"chicago, il",2018-04-01T16:00:00,34.5,28.4,7.8,32.27,0,0,,0,0,11.9,7.2,260,1023.1,88.1,9.9,242,0.9,2,,Partially cloudy,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,D6362,74466504838,KPWK"
"chicago, il",2018-04-01T17:00:00,34.7,29.4,8.4,32.79,0,0,,0,0,9.8,6.1,281,1022.2,88.1,9.9,141,0.5,1,,Partially cloudy,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,D6362,74466504838,KPWK"
"chicago, il",2018-04-01T18:00:00,33.9,27.3,8.4,33.92,0,0,,0,0,8.7,7.7,285,1022.1,88.1,9.9,82,0.3,1,,Partially cloudy,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,D6362,74466504838,KPWK"
"chicago, il",2018-04-01T19:00:00,32.9,25.6,9.5,37.04,0,0,,0,0,8.7,8.7,279,1021.9,88.1,9.9,20,0.1,0,,Partially cloudy,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,D6362,74466504838,KPWK"
"chicago, il",2018-04-01T20:00:00,32.9,25.6,11.1,39.77,0,0,,0,0,8.5,8.7,268,1022.2,78.4,9.9,0.7,0,0,,Partially cloudy,partly-cloudy-night,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK"
